dataset_file,column_name,data_type,null_count,null_pct,sample_value
transactions.csv,TransactionID,int64,0,0.0%,3000001
transactions.csv,TransactionDT,int64,0,0.0%,141
transactions.csv,TransactionAmt,float64,0,0.0%,50.02
transactions.csv,ProductCD,str,0,0.0%,H
transactions.csv,card1,int64,0,0.0%,22563
transactions.csv,card2,float64,8936,1.51%,399.0
transactions.csv,card3,float64,1565,0.26%,150.0
transactions.csv,card4,str,1577,0.27%,american express
transactions.csv,card5,float64,4259,0.72%,236.0
transactions.csv,card6,str,1571,0.27%,credit
transactions.csv,addr1,float64,65739,11.13%,299.0
transactions.csv,addr2,float64,65739,11.13%,87.0
transactions.csv,dist1,float64,352473,59.67%,5.0
transactions.csv,dist2,float64,553086,93.63%,94.0
transactions.csv,P_emaildomain,str,94480,15.99%,yahoo.com
transactions.csv,R_emaildomain,str,453289,76.73%,hotmail.com
transactions.csv,C1,float64,0,0.0%,1.0
transactions.csv,C2,float64,0,0.0%,1.0
transactions.csv,C3,float64,0,0.0%,0.0
transactions.csv,C4,float64,0,0.0%,0.0
transactions.csv,C5,float64,0,0.0%,0.0
transactions.csv,C6,float64,0,0.0%,1.0
transactions.csv,C7,float64,0,0.0%,0.0
transactions.csv,C8,float64,0,0.0%,1.0
transactions.csv,C9,float64,0,0.0%,0.0
transactions.csv,C10,float64,0,0.0%,1.0
transactions.csv,C11,float64,0,0.0%,1.0
transactions.csv,C12,float64,0,0.0%,0.0
transactions.csv,C13,float64,0,0.0%,1.0
transactions.csv,C14,float64,0,0.0%,1.0
transactions.csv,D1,float64,1269,0.21%,0.0
transactions.csv,D2,float64,280977,47.56%,17.0
transactions.csv,D3,float64,263063,44.53%,0.0
transactions.csv,D4,float64,169087,28.62%,218.0
transactions.csv,D5,float64,310026,52.48%,63.0
transactions.csv,D6,float64,517507,87.6%,35.0
transactions.csv,D7,float64,551801,93.41%,8.0
transactions.csv,D8,float64,515722,87.3%,261.95834350585943
transactions.csv,D9,float64,515722,87.3%,0.9583330154418944
transactions.csv,D10,float64,76183,12.9%,0.0
transactions.csv,D11,float64,279489,47.31%,294.0
transactions.csv,D12,float64,525989,89.04%,35.0
transactions.csv,D13,float64,528760,89.51%,0.0
transactions.csv,D14,float64,528527,89.47%,0.0
transactions.csv,D15,float64,89268,15.11%,391.0
transactions.csv,M1,str,271302,45.93%,T
transactions.csv,M2,str,271302,45.93%,F
transactions.csv,M3,str,271302,45.93%,F
transactions.csv,M4,str,281610,47.67%,M2
transactions.csv,M5,str,350684,59.36%,T
transactions.csv,M6,str,169562,28.7%,F
transactions.csv,M7,str,346467,58.65%,F
transactions.csv,M8,str,346454,58.65%,F
transactions.csv,M9,str,346454,58.65%,T
transactions.csv,V1,float64,279489,47.31%,1.0
transactions.csv,V2,float64,279489,47.31%,1.0
transactions.csv,V3,float64,279489,47.31%,1.0
transactions.csv,V4,float64,279489,47.31%,0.0
transactions.csv,V5,float64,279489,47.31%,0.0
transactions.csv,V6,float64,279489,47.31%,1.0
transactions.csv,V7,float64,279489,47.31%,1.0
transactions.csv,V8,float64,279489,47.31%,1.0
transactions.csv,V9,float64,279489,47.31%,1.0
transactions.csv,V10,float64,279489,47.31%,0.0
transactions.csv,V11,float64,279489,47.31%,0.0
transactions.csv,V12,float64,76234,12.9%,0.0
transactions.csv,V13,float64,76234,12.9%,0.0
transactions.csv,V14,float64,76234,12.9%,1.0
transactions.csv,V15,float64,76234,12.9%,0.0
transactions.csv,V16,float64,76234,12.9%,0.0
transactions.csv,V17,float64,76234,12.9%,0.0
transactions.csv,V18,float64,76234,12.9%,0.0
transactions.csv,V19,float64,76234,12.9%,0.0
transactions.csv,V20,float64,76234,12.9%,0.0
transactions.csv,V21,float64,76234,12.9%,0.0
transactions.csv,V22,float64,76234,12.9%,0.0
transactions.csv,V23,float64,76234,12.9%,1.0
transactions.csv,V24,float64,76234,12.9%,1.0
transactions.csv,V25,float64,76234,12.9%,0.0
transactions.csv,V26,float64,76234,12.9%,0.0
transactions.csv,V27,float64,76234,12.9%,0.0
transactions.csv,V28,float64,76234,12.9%,0.0
transactions.csv,V29,float64,76234,12.9%,0.0
transactions.csv,V30,float64,76234,12.9%,0.0
transactions.csv,V31,float64,76234,12.9%,0.0
transactions.csv,V32,float64,76234,12.9%,0.0
transactions.csv,V33,float64,76234,12.9%,0.0
transactions.csv,V34,float64,76234,12.9%,0.0
transactions.csv,V35,float64,169134,28.63%,0.0
transactions.csv,V36,float64,169134,28.63%,1.0
transactions.csv,V37,float64,169134,28.63%,1.0
transactions.csv,V38,float64,169134,28.63%,1.0
transactions.csv,V39,float64,169134,28.63%,0.0
transactions.csv,V40,float64,169134,28.63%,0.0
transactions.csv,V41,float64,169134,28.63%,1.0
transactions.csv,V42,float64,169134,28.63%,0.0
transactions.csv,V43,float64,169134,28.63%,0.0
transactions.csv,V44,float64,169134,28.63%,1.0
transactions.csv,V45,float64,169134,28.63%,1.0
transactions.csv,V46,float64,169134,28.63%,1.0
transactions.csv,V47,float64,169134,28.63%,1.0
transactions.csv,V48,float64,169134,28.63%,0.0
transactions.csv,V49,float64,169134,28.63%,0.0
transactions.csv,V50,float64,169134,28.63%,0.0
transactions.csv,V51,float64,169134,28.63%,0.0
transactions.csv,V52,float64,169134,28.63%,0.0
